fournisseur;siret_fournisseur;siret_payeur;code_fournisseur;code_maison;maison;num_commande;date_commande;num_bl;date_bl;num_facture;date_facture;date_echeance;nature_facture;devise;reference_article;code_ean;libelle;famille;qte;px_unitaire_brut;px_unitaire_net;montant_brut;montant_remise;montant_net;taux_tva;montant_tva;montant_ttc;nom_client;num_serie;Commentaire;
"MG Developpement";"441407061";"517780870";;"GA101";"GRAN";"1234_81";"20221116";"17393";"20221118";"f_12674";"20221118";"20230131";"FA";"EUR";"3661871126144";"3661871126144";"SPRAY GAZ SECHAGE 150ML (GA) - Pack de 12";"Séchage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"GA101";;"1234_81";"20221116";"17393";"20221118";"f_12674";"20221118";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;16.00;;;16.00;2000;3.20;19.20;;;;
"MG Developpement";"441407061";"517780870";;"561";"ACUI";"C561000691";"20221119";"17469";"20221122";"f_12707";"20221122";"20230131";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"561";;"C561000691";"20221119";"17469";"20221122";"f_12707";"20221122";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;10.00;;;10.00;2000;2.00;12.00;;;;
"MG Developpement";"441407061";"517780870";;"ARI004";"GRAN";"C804000002";"20221118";"17470";"20221122";"f_12708";"20221122";"20230131";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";5.00;;58.80;;;294.00;2000;58.80;352.80;;;;
"MG Developpement";"441407061";"517780870";;"ARI004";;"C804000002";"20221118";"17470";"20221122";"f_12708";"20221122";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;16.00;;;16.00;2000;3.20;19.20;;;;
"MG Developpement";"441407061";"517780870";;"GA05";"GRAN";"C160000363";"20221121";"17471";"20221122";"f_12709";"20221122";"20230131";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";3.00;;42.00;;;126.00;2000;25.20;151.20;;;;
"MG Developpement";"441407061";"517780870";;"GA05";;"C160000363";"20221121";"17471";"20221122";"f_12709";"20221122";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;16.00;;;16.00;2000;3.20;19.20;;;;
"MG Developpement";"441407061";"517780870";;"DO568";"DIRE";"18112022EP";"20221118";"17485";"20221123";"f_12717";"20221123";"20230131";"FA";"EUR";"3661871126748";"3661871126748";"LINGETTE NETTOYANTE AUDIO (DO) - Pack de 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"DO568";"DIRE";"18112022EP";"20221118";"17485";"20221123";"f_12717";"20221123";"20230131";"FA";"EUR";"3661871126694";"3661871126694";"MINI BROSS NET GAZ 50ML (DO) - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"DO568";;"18112022EP";"20221118";"17485";"20221123";"f_12717";"20221123";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;16.00;;;16.00;2000;3.20;19.20;;;;
"MG Developpement";"441407061";"517780870";;"DO561";"DIRE";"C561001558";"20221117";"17486";"20221123";"f_12718";"20221123";"20230131";"FA";"EUR";"3661871126748";"3661871126748";"LINGETTE NETTOYANTE AUDIO (DO) - Pack de 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"DO561";"DIRE";"C561001558";"20221117";"17486";"20221123";"f_12718";"20221123";"20230131";"FA";"EUR";"3661871126694";"3661871126694";"MINI BROSS NET GAZ 50ML (DO) - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"DO561";;"C561001558";"20221117";"17486";"20221123";"f_12718";"20221123";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;16.00;;;16.00;2000;3.20;19.20;;;;
"MG Developpement";"441407061";"517780870";;"552";"ACUI";"C552000845";"20221122";"17490";"20221123";"f_12719";"20221123";"20230131";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"552";;"C552000845";"20221122";"17490";"20221123";"f_12719";"20221123";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;10.00;;;10.00;2000;2.00;12.00;;;;
"MG Developpement";"441407061";"517780870";;"ARI001";"GRAN";"C801000002";"20221117";"17498";"20221123";"f_12720";"20221123";"20230131";"FA";"EUR";"3661871126007";"3661871126007";"CAPSULE ASSECHANTE (GA) - Pack 24 boites de 4 Capsules";"Séchage";1.00;;48.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"ARI001";"GRAN";"C801000002";"20221117";"17498";"20221123";"f_12720";"20221123";"20230131";"FA";"EUR";"3661871126038";"3661871126038";"COMPRIMES EFFERVESCENTS (GA) - Pack de 24 boites de 20";"Nettoyage";1.00;;50.40;;;50.40;2000;10.08;60.48;;;;
"MG Developpement";"441407061";"517780870";;"ARI001";"GRAN";"C801000002";"20221117";"17498";"20221123";"f_12720";"20221123";"20230131";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";5.00;;42.00;;;210.00;2000;42.00;252.00;;;;
"MG Developpement";"441407061";"517780870";;"GF16";"GRAN";"C516000004";"20221118";"17499";"20221123";"f_12721";"20221123";"20230131";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
